,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,33,0.312501,0.0916040534351145,26.12987012987013,0.2286282306163022,10.543399344194574,26.12987012987013,460,1048,1.7962226640159045,1,5.1600397614314115
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60,37,0.23711440206185566,0.14078474455732948,20.525,0.15164433617539586,8.270657734470158,20.525,249,689,1.5286236297198539,6,4.302679658952497
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,36,0.2941186470588235,0.11075018566775244,22.55294117647059,0.21439749608763695,9.106935469023291,22.55294117647059,411,921,1.7537819509650496,3,4.912363067292644
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,68,28,0.41666766666666666,0.12167400380228137,19.28421052631579,0.14465065502183405,7.77154447253505,19.28421052631579,265,789,1.546943231441048,17,4.4284934497816595
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,26,0.3734949759036144,0.0935748444193912,25.050632911392405,0.17028802425467407,10.088368374258833,25.050632911392405,337,887,1.607377463365336,16,4.612935826174835
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,46,22,0.35294217647058823,0.10365953658536585,23.296875,0.16096579476861167,9.383136317907445,23.296875,240,656,1.579476861167002,21,4.498993963782696
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.3333343333333333,0.088001,18.68888888888889,0.19143876337693222,7.55213106090633,18.68888888888889,161,375,1.61474435196195,7,4.564803804994055
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,,1e-06,1.0,0.0,0.4,1.0,0,1,1.0,0,3.0
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,13,0.4693887551020408,0.12760516666666666,22.805555555555557,0.12911084043848964,9.173866558397618,22.805555555555557,106,384,1.4859926918392206,2,4.381242387332521
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,35,0.28571528571428567,0.09387073180076629,29.82716049382716,0.17259933774834438,11.999903932630204,29.82716049382716,417,1044,1.615066225165563,11,4.508278145695364
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,48,61,-0.11926505504587157,0.09767125089605735,23.048076923076923,0.15602836879432624,9.2816421167485,23.048076923076923,374,1116,1.590738423028786,0,4.408427200667501
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32,22,0.18518618518518518,0.08517450157728707,22.551724137931036,0.22018348623853212,9.108763049667827,22.551724137931036,288,634,1.7622324159021407,10,5.109327217125382
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,34,29,0.07936607936507936,0.09251201321585903,17.414634146341463,0.16316526610644258,7.031119764979163,17.414634146341463,233,681,1.5812324929971988,6,4.46078431372549
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,60,24,0.4285724285714285,0.11538561538461539,29.253968253968253,0.16115029842647857,11.766047420957893,29.253968253968253,297,728,1.5968529571351058,22,4.580032555615844
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,70,22,0.5217401304347826,0.10478459908883828,22.53012048192771,0.1711229946524064,9.080497390632047,22.53012048192771,320,878,1.6240641711229946,11,4.603208556149733
